x1,x2,x3
49.755616349084875,50.45755782377059,49.32813399857481
50.17243569887989,49.62395176503208,49.956799962559124
49.945939036789134,50.50916126351144,49.75681896755493
49.97929544502599,50.18810594467556,49.92446675256103
49.75337980197037,49.98224006604439,50.02805344575727
50.265216630172716,49.71708429631896,49.865260845953586
50.09688280685727,49.949849768798785,49.94441593070557
49.994899069002756,49.79124815352893,49.76009287951019
50.13221905358284,49.671469972162505,50.34961515536227
50.065191473958976,49.61703767252941,50.08490809871458
50.05018357972569,50.22864841513519,50.3476548715535
49.890074265300605,49.787671187688055,49.81820553683372
49.705673471359724,49.77606752995066,50.085350731283405
50.004579743845646,49.85259289783012,49.778523256765276
50.10436588085344,49.84952029618344,49.687952977168074
